metabolite_name,chemical_formula,smiles,inchikey,name,uniprotkb
3-Hydroxybutyric acid,C4H8O3,C[C@@H](O)CC(O)=O,WHBMMWSBFZVSSR-GSVOUGTGSA-N,Sulfotransferase family cytosolic 2B member 1,O00204
3-Hydroxybutyric acid,C4H8O3,C[C@@H](O)CC(O)=O,WHBMMWSBFZVSSR-GSVOUGTGSA-N,UDP-glucuronosyltransferase 1-1,P22309
3-Hydroxybutyric acid,C4H8O3,C[C@@H](O)CC(O)=O,WHBMMWSBFZVSSR-GSVOUGTGSA-N,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",Q02338
3-Hydroxybutyric acid,C4H8O3,C[C@@H](O)CC(O)=O,WHBMMWSBFZVSSR-GSVOUGTGSA-N,3-hydroxybutyrate dehydrogenase type 2,Q9BUT1
3-Hydroxybutyric acid,C4H8O3,C[C@@H](O)CC(O)=O,WHBMMWSBFZVSSR-GSVOUGTGSA-N,Novel protein similar to 3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (Hydroxymethylglutaricaciduria),Q9NT06
p-Hydroxyphenylacetic acid,C8H8O3,OC(=O)CC1=CC=C(O)C=C1,XQXPVVBIMDBYFF-UHFFFAOYSA-N,"Aldehyde dehydrogenase, dimeric NADP-preferring",P30838
p-Hydroxyphenylacetic acid,C8H8O3,OC(=O)CC1=CC=C(O)C=C1,XQXPVVBIMDBYFF-UHFFFAOYSA-N,Aldehyde dehydrogenase family 1 member A3,P47895
p-Hydroxyphenylacetic acid,C8H8O3,OC(=O)CC1=CC=C(O)C=C1,XQXPVVBIMDBYFF-UHFFFAOYSA-N,UDP-glucuronosyltransferase 1-1,P22309
p-Hydroxyphenylacetic acid,C8H8O3,OC(=O)CC1=CC=C(O)C=C1,XQXPVVBIMDBYFF-UHFFFAOYSA-N,Aldehyde dehydrogenase family 3 member B2,P48448
p-Hydroxyphenylacetic acid,C8H8O3,OC(=O)CC1=CC=C(O)C=C1,XQXPVVBIMDBYFF-UHFFFAOYSA-N,Aldehyde dehydrogenase family 3 member B1,P43353
p-Hydroxyphenylacetic acid,C8H8O3,OC(=O)CC1=CC=C(O)C=C1,XQXPVVBIMDBYFF-UHFFFAOYSA-N,Sulfotransferase 1A3,P0DMM9
Butyric acid,C4H8O2,CCCC(O)=O,FERIUCNNQQJTOY-UHFFFAOYSA-N,UDP-glucuronosyltransferase 1-1,P22309
Butyric acid,C4H8O2,CCCC(O)=O,FERIUCNNQQJTOY-UHFFFAOYSA-N,Cholinesterase,P06276
Butyric acid,C4H8O2,CCCC(O)=O,FERIUCNNQQJTOY-UHFFFAOYSA-N,Monocarboxylate transporter 1,P53985
Butyric acid,C4H8O2,CCCC(O)=O,FERIUCNNQQJTOY-UHFFFAOYSA-N,Tumor necrosis factor,P01375
Butyric acid,C4H8O2,CCCC(O)=O,FERIUCNNQQJTOY-UHFFFAOYSA-N,Peroxisome proliferator-activated receptor gamma,P37231
Butyric acid,C4H8O2,CCCC(O)=O,FERIUCNNQQJTOY-UHFFFAOYSA-N,Histone deacetylase 4,P56524
Butyric acid,C4H8O2,CCCC(O)=O,FERIUCNNQQJTOY-UHFFFAOYSA-N,Histone deacetylase 9,Q9UKV0
Butyric acid,C4H8O2,CCCC(O)=O,FERIUCNNQQJTOY-UHFFFAOYSA-N,"Acyl-coenzyme A synthetase ACSM1, mitochondrial",Q08AH1
Butyric acid,C4H8O2,CCCC(O)=O,FERIUCNNQQJTOY-UHFFFAOYSA-N,"Acyl-coenzyme A synthetase ACSM6, mitochondrial",Q6P461
Butyric acid,C4H8O2,CCCC(O)=O,FERIUCNNQQJTOY-UHFFFAOYSA-N,"Acyl-coenzyme A synthetase ACSM2A, mitochondrial",Q08AH3
Butyric acid,C4H8O2,CCCC(O)=O,FERIUCNNQQJTOY-UHFFFAOYSA-N,"Acyl-coenzyme A synthetase ACSM2B, mitochondrial",Q68CK6
Butyric acid,C4H8O2,CCCC(O)=O,FERIUCNNQQJTOY-UHFFFAOYSA-N,"Acyl-coenzyme A synthetase ACSM3, mitochondrial",Q53FZ2
Butyric acid,C4H8O2,CCCC(O)=O,FERIUCNNQQJTOY-UHFFFAOYSA-N,"Acyl-coenzyme A synthetase ACSM5, mitochondrial",Q6NUN0
